osnova;lev1;lev2;lev3;prav
Что такое Python?;a) язык-программирование;b) программа;c) игра;a) язык-программирование
Что дауют  for и while?;a) список;"b) цикл	";c) нет правельного ответа;b) цикл
Что такое конкатенация?;a) операция соединение строк;b) операция деление строк;c) нет правельного ответа;a) операция соединение строк
"Что будет в результате print (""2"" + '2')	";a) 4;b) ошибка;c) 22;b) ошибка
Условные операторы Python;a) +, -, *,/;b) if, elif, else;c) str, int, float, list;b) if, elif, else
С какого числа начинается индекс?;a) 1;b) 1.0;c) 0;c)  задача0
В чеи функция randint () из random?;a) рандомит заданные числа ;b) Нечего ;c) добавляет рандомную функцию;a) рандомит заданные числа 
Функция str - это?;a) строка;b) столбец;c) дробь;a) строка
"Задача в Python: 1 + '2' + 3 + ""4"" Ответ?";a) 10;b) ошибка;c) 37;b) ошибка
Какой метот добавляет элемент в конец списка?;a) list.remove(x);b) list.append(x);c) list.count(x);b) list.append(x)
Какому функцию относится return?;a) whil;b) for;c) def;c) def
Как вирнуть ключи в соваре?;a) dict.keys();b) dict.items();c) dict.popitem();a) dict.keys()
Что значат ** знака?;a) степень;b) уможение;с) ошибка;a) степень
print(float(20));a) 20;b) 20.0;c) 400;b) 20.0
Что выполняет float?;a) умножает на самого себя в 2 раза;b) нечего;с) из целого число дайет дробный;с) из целого число дайет дробный
"print(int(""3"" + '2'))";a) 32;b) 5;c) 6;a) 32
"print(float('200' * int(""2"")))";a) 400.0;b) 400;c) 210210.0;c) 210210.0
Как переворавчивать строки зад на перед?;a) print( [::-1]);"b) print( (;;1))";c) print( [::1]);a) print( [::-1])
Что такое def?;a) это функция воврата;b) это функция защиты;c) это функция блока;a) это функция воврата
Какой метот открывает файл для чтение?;a) r;b) w;c) b;a) r
